id,booking_status_pred,Cancellation_prob
42100,0,0.05527691
42101,0,0.031369805
42102,0,0.3963342
42103,0,0.14464161
42104,0,0.4621498
42105,1,0.721842
42106,0,0.44974393
42107,1,0.7277998
42108,0,1.0359868e-08
42109,1,0.5207221
42110,1,0.7290854
42111,0,0.19979358
42112,0,0.4014633
42113,0,0.16666569
42114,0,0.26715395
42115,1,0.7597991
42116,0,0.07499632
42117,0,0.16441654
42118,1,0.91273534
42119,1,0.8406432
42120,1,0.9154935
42121,0,0.2717165
42122,0,0.0029656952
42123,1,0.6707053
42124,1,0.877976
42125,0,0.0025910928
42126,0,2.5079717e-25
42127,0,0.012838486
42128,0,0.16454624
42129,1,0.6583824
42130,1,0.84833825
42131,0,0.37781763
42132,0,0.45666853
42133,1,0.961737
42134,0,0.46963203
42135,0,1.6303968e-14
42136,0,0.042965043
42137,1,0.5347801
42138,1,0.7026619
42139,1,0.86745495
42140,0,0.001957001
42141,0,0.1726106
42142,1,0.574917
42143,1,0.8486477
42144,0,0.06852223
42145,1,0.8168904
42146,0,0.052758053
42147,1,0.8651256
42148,1,0.5498528
42149,0,0.48763478
42150,0,0.23888788
42151,1,0.7530614
42152,1,0.80014944
42153,0,0.12296864
42154,1,0.5323197
42155,0,0.47015867
42156,0,0.40256172
42157,0,0.007916345
42158,0,0.2718265
42159,1,0.8209802
42160,1,0.54666305
42161,0,1.4293939e-06
42162,0,0.068624
42163,0,0.052195735
42164,1,0.78503644
42165,0,0.48956275
42166,1,0.7648004
42167,0,7.5028883e-10
42168,1,0.6958473
42169,1,0.78651553
42170,0,0.011603196
42171,0,0.26851615
42172,0,0.19589907
42173,1,0.8120038
42174,0,0.1100037
42175,0,0.1980805
42176,1,0.8940502
42177,0,0.1991161
42178,0,0.03046067
42179,1,0.90295154
42180,1,0.69725347
42181,1,0.6661124
42182,1,0.80302316
42183,0,0.47062504
42184,0,0.047729306
42185,0,0.11617304
42186,0,0.17768312
42187,0,0.3248191
42188,0,0.0143829705
42189,0,0.15672486
42190,0,0.17677549
42191,0,0.17522418
42192,0,0.24684964
42193,0,0.18225011
42194,0,0.20003815
42195,1,0.9252565
42196,1,0.84323925
42197,0,0.48655552
42198,1,0.62898386
42199,1,0.53662753
42200,1,0.5868523
42201,1,0.53866017
42202,0,0.36894143
42203,0,0.20538405
42204,1,0.75839305
42205,0,0.13719681
42206,0,0.008505429
42207,1,0.7176532
42208,0,0.073067665
42209,0,0.20495272
42210,0,0.13277698
42211,0,0.19345407
42212,0,0.2749423
42213,1,0.8471552
42214,1,0.5758201
42215,0,0.23996615
42216,1,0.82289284
42217,0,0.108557075
42218,0,0.02238681
42219,0,0.13949348
42220,0,0.1754472
42221,1,0.75459886
42222,1,0.50056446
42223,0,0.13795812
42224,1,0.92440784
42225,1,0.70500815
42226,1,0.8684844
42227,0,0.06900611
42228,1,0.7623373
42229,0,0.09009538
42230,0,0.20448144
42231,1,0.8269058
42232,1,0.6703492
42233,0,0.08846501
42234,1,0.5910554
42235,0,0.08530602
42236,0,0.09208477
42237,1,0.8172239
42238,0,0.32025954
42239,0,0.2089256
42240,1,0.94572556
42241,1,0.55397123
42242,0,0.11616491
42243,1,0.9120164
42244,0,0.12427924
42245,1,0.59913164
42246,1,0.9315355
42247,1,0.7952005
42248,1,0.52063984
42249,1,0.86820215
42250,1,0.5822357
42251,0,0.21492535
42252,1,0.79069656
42253,1,0.7027314
42254,0,0.03066442
42255,0,0.098118536
42256,1,0.76365846
42257,1,0.6196294
42258,0,0.2918559
42259,1,0.6926484
42260,1,0.63443595
42261,1,0.74293053
42262,1,0.8912313
42263,1,0.9381185
42264,0,0.080641136
42265,1,0.79423785
42266,0,0.029220546
42267,0,0.18144037
42268,1,0.69296145
42269,0,0.08967509
42270,1,0.88820755
42271,1,0.8057394
42272,0,0.055824563
42273,0,0.06705907
42274,1,0.79802287
42275,0,0.35428074
42276,0,0.11283044
42277,0,0.10186415
42278,0,0.08090499
42279,0,0.4119912
42280,0,0.35644466
42281,0,0.004889571
42282,0,0.4230236
42283,0,0.09617869
42284,0,0.48239288
42285,0,0.07192672
42286,0,0.040531207
42287,1,0.6792669
42288,0,0.33321035
42289,1,0.8517095
42290,0,0.023525609
42291,1,0.8661916
42292,0,0.15189038
42293,1,0.8325588
42294,1,0.9725728
42295,0,0.12169022
42296,0,0.07317325
42297,0,0.19488993
42298,0,0.0754289
42299,1,0.8275032
42300,0,0.42228135
42301,0,0.2485803
